model,batch_size,learning_rate,filters,precision_area,recall_area,f1_score_area,iou_score_area
Attention_Unet,4,0.0005,32,0.5494151711463928,0.6207916736602783,0.582726001739502,0.41290584206581116
Attention_Unet,8,0.0005,32,0.5391021966934204,0.6273273825645447,0.5793221592903137,0.4096786677837372
Attention_Unet,16,0.0005,32,0.5294326543807983,0.5989246964454651,0.5617371797561646,0.3922329843044281
Attention_Unet,32,0.0005,32,0.6960222125053406,0.0021984188351780176,0.004090485163033009,0.002070652786642313
Attention_Unet,4,0.001,32,0.5690812468528748,0.6107860207557678,0.5887286067008972,0.4193148910999298
Attention_Unet,8,0.001,32,0.5352882146835327,0.6687324047088623,0.5938652157783508,0.424455851316452
Attention_Unet,16,0.001,32,0.48311761021614075,0.706994354724884,0.5738259553909302,0.40366101264953613
Attention_Unet,32,0.001,32,0.8333341479301453,7.556025138910627e-06,1.5110836102394387e-05,7.556025138910627e-06
Attention_Unet,4,5e-05,32,0.45994237065315247,0.6359191536903381,0.5335468649864197,0.36576414108276367
Attention_Unet,8,5e-05,32,0.4988898038864136,0.5819209218025208,0.5370442271232605,0.368922621011734
Attention_Unet,16,5e-05,32,0.46584999561309814,0.5602090358734131,0.5083258748054504,0.34240636229515076
Attention_Unet,32,5e-05,32,0.4622371196746826,0.49623903632164,0.47745394706726074,0.31556960940361023
Attention_Unet,4,0.0001,32,0.5168630480766296,0.6012125015258789,0.5551032423973083,0.3859730064868927
Attention_Unet,8,0.0001,32,0.4796203076839447,0.6012997031211853,0.5330061912536621,0.36513224244117737
Attention_Unet,16,0.0001,32,0.5304930806159973,0.522628128528595,0.5263414978981018,0.3583458960056305
Attention_Unet,32,0.0001,32,0.26265355944633484,0.36552777886390686,0.30163565278053284,0.17781929671764374
